categoryName,city,reviewsCount,stars,state,text,title,url
Atracción turística,Miranda de Ebro,0,,Burgos,,Cueva de Ircio,https://www.google.com/maps/search/?api=1&query=Cueva%20de%20Ircio&query_place_id=ChIJa-NnAjKPTw0R8vKnaJjkHEA
Zona de senderismo,Miranda de Ebro,2,5.0,Burgos,Sitio interesante para pasear por la zona,Las salinas de Herrera,https://www.google.com/maps/search/?api=1&query=Las%20salinas%20de%20Herrera&query_place_id=ChIJ23XPGTGPTw0Rov02Us2dCvI
Mirador,Miranda de Ebro,1,5.0,Burgos,,Mirador Ircio,https://www.google.com/maps/search/?api=1&query=Mirador%20Ircio&query_place_id=ChIJER1RbaGPTw0Ri2aiZAelSE0
Zona de senderismo,Miranda de Ebro,2,5.0,Burgos,,Cuevas de Herrera (cuevas de arriba),https://www.google.com/maps/search/?api=1&query=Cuevas%20de%20Herrera%20(cuevas%20de%20arriba)&query_place_id=ChIJE0-gTSmPTw0R4AMUTuZkwlY
Zona de senderismo,Villalba de Rioja,1,4.0,La Rioja,Ruta desde Villalba de rioja a peña abeja ruta bonita y fácil de ida y vuelta marcada con flechas y puntos verdes,Peña la Abeja,https://www.google.com/maps/search/?api=1&query=Pe%C3%B1a%20la%20Abeja&query_place_id=ChIJAU8HjZuPTw0R4JbvAAeeJPk
Zona de senderismo,,3,5.0,La Rioja,,Peña Escalera,https://www.google.com/maps/search/?api=1&query=Pe%C3%B1a%20Escalera&query_place_id=ChIJHdD6SLKPTw0RnrYMA5sInkU
Zona de senderismo,,1,3.0,La Rioja,Top Mann,Monte Rave,https://www.google.com/maps/search/?api=1&query=Monte%20Rave&query_place_id=ChIJrfCCx2qPTw0RGwWBVo7HlU8
Zona de senderismo,Haro,6,5.0,La Rioja,El único inconveniente es que no está indicado y hay que saber llegar allí.,Cueva Negra,https://www.google.com/maps/search/?api=1&query=Cueva%20Negra&query_place_id=ChIJT8rL9NOPTw0Ry0lkHfAjFAc
Parque,Villalba de Rioja,7,5.0,La Rioja,Bonito mirador con mesas donde poder hacer un picnic,Mirador,https://www.google.com/maps/search/?api=1&query=Mirador&query_place_id=ChIJ27b4YYGPTw0RsfxLVArVPyU
Zona de senderismo,Bastida,3,5.0,La Rioja,,Punto del Triple Límite Autonómico (Castilla y León - La Rioja - País Vasco).,https://www.google.com/maps/search/?api=1&query=Punto%20del%20Triple%20L%C3%ADmite%20Auton%C3%B3mico%20(Castilla%20y%20Le%C3%B3n%20-%20La%20Rioja%20-%20Pa%C3%ADs%20Vasco).&query_place_id=ChIJSXxG5XmPTw0Ru-z5uHGDW34
Cafetería,Haro,0,,La Rioja,,Viñedos Haro,https://www.google.com/maps/search/?api=1&query=Vi%C3%B1edos%20Haro&query_place_id=ChIJHbNmQACPTw0RfhMmUt5NpAE
