Place ID,Latitude,Longitude
ChIJ28GlZQD9RQ0R3PuSuP66UTo,42.3435061,-3.7045082
ChIJ28GlZQD9RQ0R3PuSuP66UTo,42.3435589,-3.7044871
ChIJHx695Nf8RQ0RohIIuD6Pb6w,42.3436238,-3.7026298
ChIJZ0y2RCj9RQ0RzS98OTkWORQ,42.3435061,-3.7045082
ChIJjcy-S-H9RQ0R5V6gphcEeJM,42.3435589,-3.7044871
ChIJOaX15A39RQ0Rnts6cAf2NyU,42.3436238,-3.7026298
ChIJEY5693T9RQ0Rwe4FtdvEdJI,42.3435061,-3.7045082
ChIJEY5693T9RQ0Rwe4FtdvEdJI,42.3435589,-3.7044871
ChIJJUv6ASj9RQ0RWkBEF3bc9-I,42.3436238,-3.7026298
ChIJr19Nlyj9RQ0RonMc-jmx6J4,42.3435061,-3.7045082
ChIJT9WlhNf8RQ0R0auryhfXn44,42.3437115,-3.7001887
ChIJMbkhByj9RQ0RoiNUe-H4X64,42.3435589,-3.7044871
ChIJ9f6U5Nf8RQ0RY_x-pjGCI8c,42.3436238,-3.7026298
ChIJ3zS7CPz9RQ0RbP9AIDuHnWU,42.3435061,-3.7045082
ChIJ3zS7CPz9RQ0RbP9AIDuHnWU,42.3435589,-3.7044871
ChIJw7DgWNf8RQ0R9l0rkhmvBQ8,42.3437115,-3.7001887
ChIJA2kF_cL9RQ0R5kxPxg8V2Zo,42.3436238,-3.7026298
ChIJy11jkdf8RQ0RuOPE8pJakgM,42.3436238,-3.7026298
ChIJbVFxedf8RQ0RqLQtCXKVa4k,42.3437115,-3.7001887
ChIJG1rOa3z9RQ0RjLbQFKOs85E,42.3436238,-3.7026298
ChIJo9vBTtb8RQ0RylHVd3UaUe4,42.3437115,-3.7001887
ChIJ1dVPBEb9RQ0Rubw3gGkdqY4,42.3436238,-3.7026298
ChIJfcY7etf8RQ0R1qpgP3Ck5-I,42.3437115,-3.7001887
ChIJddZESgD9RQ0RnE104MxEd_A,42.3436238,-3.7026298
ChIJZX22e9r8RQ0RjojRZ1uKqrw,42.3437115,-3.7001887
ChIJ4fQ-bAD9RQ0RgHTiGDTZIZc,42.3436238,-3.7026298
ChIJEdsZeNf8RQ0Ri0s17jReKDA,42.3437115,-3.7001887
ChIJKdGbdwD9RQ0RTLwupEasq5I,42.3437115,-3.7001887
ChIJF7b42MsW0ggRmBPeh3LbsEM,42.3437115,-3.7001887
ChIJT0l6Yi_9RQ0RCN3SqIW3W3A,42.3437115,-3.7001887
ChIJZUPMe679RQ0R3_t6ofiiph4,42.3437115,-3.7001887
ChIJkxxwT2b9RQ0RMxG1jMmZ1Kk,42.3437115,-3.7001887
ChIJ244kx9T9RQ0RXoY2H_rJqKc,42.3437115,-3.7001887
ChIJq6raArj8RQ0R78Ws8oQ6lWM,42.3437115,-3.7001887
ChIJozUALM79RQ0Rw8vWwiCjBVY,42.3437115,-3.7001887
ChIJq6pGetf8RQ0RIN4y6RP_6a0,42.3437115,-3.7001887
ChIJQ6nPW939RQ0ROxLQKj48Rbw,42.3437115,-3.7001887
